Designator,Mid X,Mid Y,Rotation,Layer
C1,191.0975,-125.24,270.0,bottom
C10,115.3475,-67.24,270.0,bottom
C11,115.3475,-86.29,270.0,bottom
C12,115.3475,-105.34,270.0,bottom
C13,115.3475,-124.39,270.0,bottom
C14,153.4475,-124.39,90.0,bottom
C15,153.1975,-107.44,270.0,bottom
C16,154.51,-84.8525,0.0,bottom
C17,156.8975,-89.84,90.0,bottom
C18,157.7475,-95.64,0.0,bottom
C19,160.6225,-100.74,0.0,bottom
C2,191.5475,-105.34,270.0,bottom
C20,160.6225,-102.49,0.0,bottom
C21,160.6225,-98.94,0.0,bottom
C22,147.6975,-106.54,180.0,bottom
C23,147.6725,-108.34,180.0,bottom
C24,140.6475,-95.665,270.0,bottom
C25,142.4975,-95.64,270.0,bottom
C3,191.5475,-86.29,270.0,bottom
C4,191.5475,-67.24,270.0,bottom
C5,190.8475,-48.89,270.0,bottom
C6,155.6475,-51.94,180.0,bottom
C7,152.3975,-51.39,0.0,bottom
C8,134.3975,-48.19,270.0,bottom
C9,115.3475,-48.19,270.0,bottom
D1,178.8975,-125.24,270.0,bottom
D10,102.6975,-68.09,270.0,bottom
D11,102.6975,-87.14,270.0,bottom
D12,102.6975,-106.19,270.0,bottom
D13,102.6975,-125.24,270.0,bottom
D14,140.7975,-125.24,270.0,bottom
D2,178.8975,-106.19,270.0,bottom
D3,178.8975,-87.14,270.0,bottom
D4,178.8975,-68.09,270.0,bottom
D5,191.6475,-45.79,180.0,bottom
D6,159.8475,-49.04,270.0,bottom
D7,140.7975,-49.04,270.0,bottom
D8,121.7475,-49.04,270.0,bottom
D9,102.6975,-49.04,270.0,bottom
F1,154.51,-83.0025,180.0,bottom
FID1,193.3475,-103.14,0.0,top
FID2,157.8475,-45.64,0.0,top
FID3,119.9975,-138.64,0.0,top
J1,175.6775,-46.74,180.0,bottom
LED1,185.0225,-130.165,180.0,top
LED10,108.8225,-73.015,180.0,top
LED11,108.8225,-92.065,180.0,top
LED12,108.8225,-111.115,180.0,top
LED13,108.8225,-130.165,180.0,top
LED14,146.9225,-130.165,180.0,top
LED2,185.0225,-111.115,180.0,top
LED3,185.0225,-92.065,180.0,top
LED4,185.0225,-73.015,180.0,top
LED5,185.0225,-53.965,180.0,top
LED6,165.9725,-53.965,180.0,top
LED7,146.9225,-53.965,180.0,top
LED8,127.8725,-53.965,180.0,top
LED9,108.8225,-53.965,180.0,top
R1,164.21,-98.8775,180.0,bottom
R2,173.8225,-53.59,270.0,bottom
R3,176.5975,-53.59,270.0,bottom
R5,189.4975,-121.44,270.0,bottom
S1,185.6575,-133.975,0.0,bottom
S10,109.4575,-76.825,0.0,bottom
S11,109.4575,-95.875,0.0,bottom
S12,109.4575,-114.925,0.0,bottom
S13,109.4575,-133.975,0.0,bottom
S14,147.5575,-133.975,0.0,bottom
S2,185.6575,-114.925,0.0,bottom
S3,185.6575,-95.875,0.0,bottom
S4,185.6575,-76.825,0.0,bottom
S5,185.6575,-57.775,0.0,bottom
S6,166.6075,-57.775,0.0,bottom
S7,147.5575,-57.775,0.0,bottom
S8,128.5075,-57.775,0.0,bottom
S9,109.4575,-57.775,0.0,bottom
SW1,161.21,-87.3025,270.0,bottom
U1,149.76,-99.065,90.0,bottom
U2,146.9225,-92.4525,0.0,top
U3,153.652485,-88.462514,90.0,bottom
U4,150.749946,-83.020029,90.0,bottom
