Designator,Mid X,Mid Y,Layer,Rotation
C1,-70.0100mm,10.5200mm,Top,0
C2,-10.3300mm,92.4500mm,Top,0
C3,-104.0800mm,85.3100mm,Top,90
C4,-95.5400mm,-28.9800mm,Top,180
C5,-1.3300mm,-20.3500mm,Top,270
C6,-45.6100mm,4.4100mm,Top,225
C16,-28.00mm,13.3900mm,Top,270
C17,-34.9200mm,12.2200mm,Top,270
C22,-47.3111mm,2.0400mm,Top,135
C23,-46.4411mm,2.9200mm,Top,135
C25,-55.7011mm,9.0800mm,Top,315
C26,-53.7632mm,10.9756mm,Top,315
C27,-47.0887mm,9.1400mm,Top,225
C28,-57.3991mm,3.9380mm,Top,45
C29,-54.5600mm,1.6500mm,Top,45
C30,-53.0011mm,11.7700mm,Top,315
C31,-50.6300mm,11.8500mm,Top,225
C32,-52.2211mm,12.5500mm,Top,315
C33,-45.7145mm,-3.9181mm,Top,45
C34,-50.2300mm,-3.7500mm,Top,135
C44,-54.9211mm,9.8600mm,Top,315
CL1,-7.5400mm,-21.7850mm,Top,180
CL2,-26.4800mm,-19.8000mm,Top,180
CL3,-45.5300mm,-19.8000mm,Top,180
CL4,-64.5800mm,-19.8000mm,Top,180
CL5,-83.6300mm,-19.8000mm,Top,180
CL6,-7.9900mm,-0.8350mm,Top,180
CL7,-83.6300mm,-0.7500mm,Top,180
CL8,-7.4300mm,18.3000mm,Top,180
CL9,-83.6300mm,18.3000mm,Top,180
CL10,-7.4300mm,37.3500mm,Top,180
CL11,-83.6300mm,37.3500mm,Top,180
CL12,-7.4300mm,56.4000mm,Top,180
CL13,-26.4800mm,56.4000mm,Top,180
CL14,-45.5300mm,56.4000mm,Top,180
CL15,-64.5800mm,56.4000mm,Top,180
CL16,-83.6300mm,56.4000mm,Top,180
CL17,-7.4300mm,75.4500mm,Top,180
CL18,-26.4800mm,75.4500mm,Top,180
CL19,-45.5300mm,75.4500mm,Top,180
CL20,-64.5800mm,75.4500mm,Top,180
CL21,-83.6300mm,75.4500mm,Top,180
D1,-21.2400mm,-23.3350mm,Top,0
D2,-40.4800mm,-21.8000mm,Top,90
D3,-59.5300mm,-21.8000mm,Top,90
D4,-78.5800mm,-21.8000mm,Top,90
D5,-97.6300mm,-21.8000mm,Top,90
D6,-22.4200mm,-1.2500mm,Top,0
D7,-97.6300mm,-2.7500mm,Top,90
D8,-22.7400mm,17.9150mm,Top,0
D9,-97.6300mm,16.3000mm,Top,90
D10,-22.4100mm,37.0800mm,Top,0
D11,-97.6300mm,35.3500mm,Top,90
D12,-21.4300mm,54.4000mm,Top,90
D13,-40.4800mm,54.4000mm,Top,90
D14,-59.5300mm,54.4000mm,Top,90
D15,-78.5800mm,54.4000mm,Top,90
D16,-97.6300mm,54.4000mm,Top,90
D17,-21.4300mm,73.4500mm,Top,90
D18,-40.4800mm,73.4500mm,Top,90
D19,-59.5300mm,73.4500mm,Top,90
D20,-78.5800mm,73.4500mm,Top,90
D21,-97.6300mm,73.4500mm,Top,90
R1,-43.5100mm,3.7500mm,Top,90
R2,-55.3300mm,-27.0500mm,Top,270
R3,-48.1800mm,-27.0500mm,Top,270
R4,-55.5611mm,13.2400mm,Top,135
R5,-95.1800mm,35.5500mm,Top,90
R6,-62.5200mm,1.3600mm,Top,180
R7,-62.5200mm,3.4700mm,Top,180
R8,-46.3900mm,15.6500mm,Top,0
R9,-57.1211mm,11.6400mm,Top,135
R10,-44.8400mm,0.0900mm,Top,135
R11,-44.7711mm,21.6000mm,Top,180
R12,-44.7811mm,19.0900mm,Top,180
R13,-7.3900mm,-11.3000mm,Top,0
R14,-7.4000mm,-9.1400mm,Top,0
R15,-28.8300mm,-28.4500mm,Top,0
SW1,-68.3600mm,-0.5500mm,Top,270
SW2,-39.3900mm,-2.3200mm,Top,90
U1,-51.4886mm,5.8700mm,Top,45
U3,-31.2750mm,12.3400mm,Top,180
U4,-51.5300mm,-26.8500mm,Top,90
U6,-62.7600mm,7.8025mm,Top,180
U7,-42.1700mm,26.2900mm,Top,0
Y1,-47.8545mm,-1.4181mm,Top,45
