Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,L1_min,Check_prices,STANDARD,E_min,SnapEDA_Link,D_min,D_nom,L_min,E_max,DigiKey_Part_Number,L_max,A_max,L1_nom,Description_1,MF,D_max,A_nom,L1_max,A_min,MP,E_nom,MANUFACTURER,L_nom,LCSC,Purchase-URL,Price,Availability,Description,Sim.Device,Sim.Pins,MAXIMUM_PACKAGE_HEIGHT,PARTREV,SNAPEDA_PN,Comment,Power_Rating,Resistance,Voltage_Rating,EU_RoHS_Compliance,Tolerance,KiLib_Generator,CREATOR
"C1, C2, C3, C4, C5, CL1, CL10, CL11, CL12, CL13, CL14, CL15, CL16, CL17, CL18, CL19, CL2, CL20, CL21, CL3, CL4, CL5, CL6, CL7, CL8, CL9",26,0.1uF,01uF_0805_CAPC2012X95N,SMD-2 Samsung,CL21B104KBCNNNC,,smt,0.2,https://www.snapeda.com/parts/CL21B104KBCNNNC/Samsung/view-part/?ref=eda,IPC 7351B,1.15,https://www.snapeda.com/parts/CL21B104KBCNNNC/Samsung/view-part/?ref=snap,1.9,2.0,0.2,1.35,1276-1003-1-ND,0.7,0.95,0.5,0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric),Samsung,2.1,0.95,0.7,0.95,CL21B104KBCNNNC,1.25,Samsung,0.5,C1711,,,,,,,,,,,,,,,,,
"C16, C17",2,10uF,10uF_0805_CAPC3216X180N,SMD-2 Samsung,CL21A106KAYNNNE,,smt,0.2,https://www.snapeda.com/parts/CL31B106KAHNNNE/Samsung/view-part/?ref=eda,IPC 7351B,1.4,https://www.snapeda.com/parts/CL31B106KAHNNNE/Samsung/view-part/?ref=snap,3.0,3.2,0.2,1.8,1276-1804-1-ND,0.8,1.8,0.5,CL31 Series 10 uF 25 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,Samsung Electro-Mechanics,3.4,1.8,0.8,1.8,CL31B106KAHNNNE,1.6,Samsung Electro-Mechanics,0.5,C15850,,,,,,,,,,,,,,,,,
"C22, C23",2,1uF,0402_CAPC1005X65N_reduced_pad,SMD-2 Samsung,CL05A105KA5NQNC,,smt,0.15,https://www.snapeda.com/parts/CL05A105KL5NRNC/Samsung/view-part/?ref=eda,IPC 7351B,0.35,https://www.snapeda.com/parts/CL05A105KL5NRNC/Samsung/view-part/?ref=snap,0.85,1.0,0.15,0.65,1276-6796-1-ND,0.35,0.65,0.25,1 µF ±10% 35V Ceramic Capacitor X5R 0402 (1005 Metric),Samsung,1.15,0.65,0.35,0.65,CL05A105KL5NRNC,0.5,Samsung,0.25,C52923,,,,,,,,,,,,,,,,,
"C25, C26, C27, C28, C29, C30, C31, C32, C44, C6",10,0.1uF,01uF_0402_CAPC1005X55N,SMD-2 Samsung,CL05B104KO5NNNC,,smt,0.15,https://www.snapeda.com/parts/CL05B104KB5NNNC/Samsung/view-part/?ref=eda,IPC 7351B,0.45,https://www.snapeda.com/parts/CL05B104KB5NNNC/Samsung/view-part/?ref=snap,0.95,1.0,0.15,0.55,1276-CL05B104KB5NNNCCT-ND,0.35,0.55,0.25,0.1 µF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric),Samsung Electro-Mechanics,1.05,0.55,0.35,0.55,CL05B104KB5NNNC,0.5,Samsung Electro-Mechanics,0.25,C1525,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=5805278&manufacturer=Samsung Electro-Mechanics&part_name=CL05B104KB5NNNC&search_term=cl05b104kb5nnnc,,,,,,,,,,,,,,,,
"C33, C34",2,15pF,15pF_WCAP-CSGP_0805_H0.6_W,0805 Wurth Electronics,CC0805JRNPO9BN150,,smt,,https://www.snapeda.com/parts/885012007052/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=eda,,,https://www.snapeda.com/parts/885012007052/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=snap,,,,,,,,,WCAP-CSGP General Purpose MLCC; SMT 0805; NP0; 15pF  5%; 50V; -55C to +125C; Tech. PN NP00805150J050DFCT10000,Würth Elektronik,,,,,885012007052,,,,C107110,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4217726&manufacturer=Würth Elektronik&part_name=885012007052&search_term=885012007052,None,In Stock,,,,,,,,,,,,,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",21,~,D_SOD-123,,1N4148W,,smt,,,,,,,,,,,,,,,,,,,,,,,,C917030,,,,"Diode, small symbol",D,1=K 2=A,,,,,,,,,,,
F2,1,1A,Fuse_0603,,MF-FSMF050X-2,,smt,,,,,,,,,,,,,,,,,,,,,,,,C210357,,,,"Fuse, small symbol",,,,,,,,,,,,,
J1,1,USB_C,USB-C_MOLEX_2169900003,None,2169900003,,smt,,https://www.snapeda.com/parts/2169900003/Molex/view-part/?ref=eda,Manufacturer Recommendations,,https://www.snapeda.com/parts/2169900003/Molex/view-part/?ref=snap,,,,,,,,,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole",Molex,,,,,2169900003,,Molex,,C3198017,,None,In Stock,USB 2.0-only 14P Type-C Receptacle connector,,,2.31 mm,A1,2169900003,,,,,,,,
"R1, R11, R12, R7, R8",5,10k,10k_RESC2012X65N,2012 TE Connectivity,0805W8F1002T5E,,smt,,https://www.snapeda.com/parts/CRGCQ0805F10K/TE+Connectivity/view-part/?ref=eda,,,https://www.snapeda.com/parts/CRGCQ0805F10K/TE+Connectivity/view-part/?ref=snap,,,,,,,,,"10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film",TE Connectivity,,,,,CRGCQ0805F10K,,,,C17414,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=3188209&manufacturer=TE Connectivity&part_name=CRGCQ0805F10K&search_term=crgcq0805f10k,None,In Stock,,,,,,,3-2176341-7,,,,,,,
"R10, R6",2,1k,1k_RESC2012X65N,0805,RC0805FR-071KL,,smt,,https://www.snapeda.com/parts/CRG0805J1K0/TE+Connectivity+Passive+Product/view-part/?ref=eda,,,https://www.snapeda.com/parts/CRG0805J1K0/TE+Connectivity+Passive+Product/view-part/?ref=snap,,,,,,,,,CRG0805 5% 1K0,TE Connectivity,,,,,CRG0805J1K0,,,,C95781,,None,In Stock,,,,,,,1623327-1,.125 W,1K,150 V,Compliant with Exemptions,5%,,
