pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
-6.732102,87.022899,135.0,top,B_LED1,,,LED_MX_6028R_Flipped,MX_SK6812MINI-E,smt
-97.647899,87.022899,-135.0,top,B_LED2,,,LED_MX_6028R_Flipped,MX_SK6812MINI-E,smt
-97.647899,-22.992898,-45.0,top,B_LED3,,,LED_MX_6028R_Flipped,MX_SK6812MINI-E,smt
-6.74,-22.985,45.0,top,B_LED4,,,LED_MX_6028R_Flipped,MX_SK6812MINI-E,smt
-70.01,10.52,0.0,top,C1,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-28.05,13.78,-90.0,top,C16,CL21A106KAYNNNE,SMD-2 Samsung,10uF_0805_CAPC3216X180N,10uF,smt
-35.02,11.69,-90.0,top,C17,CL21A106KAYNNNE,SMD-2 Samsung,10uF_0805_CAPC3216X180N,10uF,smt
-10.33,92.45,0.0,top,C2,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-47.311129,2.04,135.0,top,C22,CL05A105KA5NQNC,SMD-2 Samsung,0402_CAPC1005X65N_reduced_pad,1uF,smt
-46.441129,2.92,135.0,top,C23,CL05A105KA5NQNC,SMD-2 Samsung,0402_CAPC1005X65N_reduced_pad,1uF,smt
-55.701129,9.08,-45.0,top,C25,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-53.763203,10.975595,-45.0,top,C26,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-47.088669,9.14,-135.0,top,C27,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-57.399121,3.937992,45.0,top,C28,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-54.56,1.65,45.0,top,C29,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-104.08,85.31,90.0,top,C3,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-53.001129,11.77,-45.0,top,C30,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-50.63,11.85,-135.0,top,C31,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-52.221129,12.55,-45.0,top,C32,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-45.714454,-3.918109,45.0,top,C33,CC0805JRNPO9BN150,0805 Wurth Electronics,15pF_WCAP-CSGP_0805_H0.6_W,15pF,smt
-50.23,-3.75,135.0,top,C34,CC0805JRNPO9BN150,0805 Wurth Electronics,15pF_WCAP-CSGP_0805_H0.6_W,15pF,smt
-95.54,-28.98,180.0,top,C4,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-54.921129,9.86,-45.0,top,C44,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-1.33,-20.35,-90.0,top,C5,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-45.61,4.41,-135.0,top,C6,CL05B104KO5NNNC,SMD-2 Samsung,01uF_0402_CAPC1005X55N,0.1uF,smt
-7.54,-21.785,180.0,top,CL1,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-7.43,37.35,180.0,top,CL10,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-83.63,37.35,180.0,top,CL11,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-7.43,56.4,180.0,top,CL12,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-26.48,56.4,180.0,top,CL13,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-45.53,56.4,180.0,top,CL14,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-64.58,56.4,180.0,top,CL15,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-83.63,56.4,180.0,top,CL16,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-7.43,75.45,180.0,top,CL17,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-26.48,75.45,180.0,top,CL18,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-45.53,75.45,180.0,top,CL19,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-26.48,-19.8,180.0,top,CL2,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-64.58,75.45,180.0,top,CL20,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-83.63,75.45,180.0,top,CL21,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
-45.53,-19.8,180.0,top,CL3,CL21B104KBCNNNC,SMD-2 Samsung,01uF_0805_CAPC2012X95N,0.1uF,smt
