Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, CL1, CL10, CL11, CL12, CL13, CL14, CL15, CL16, CL17, CL18, CL19, CL2, CL20, CL21, CL3, CL4, CL5, CL6, CL7, CL8, CL9",01uF_0805_CAPC2012X95N,26,0.1uF,C1711
"C16, C17",10uF_0805_CAPC3216X180N,2,10uF,C15850
"C22, C23",0402_CAPC1005X65N_reduced_pad,2,1uF,C52923
"C25, C26, C27, C28, C29, C30, C31, C32, C44, C6",01uF_0402_CAPC1005X55N,10,0.1uF,C1525
"C33, C34",15pF_WCAP-CSGP_0805_H0.6_W,2,15pF,C107110
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,21,~,C917030
F2,Fuse_0603,1,1A,C210357
J1,USB-C_MOLEX_2169900003,1,USB_C,C3198017
"R1, R11, R12, R13, R14, R7, R8",10k_RESC2012X65N,7,10k,C17414
"R10, R6",1k_RESC2012X65N,2,1k,C95781
R15,0805,1,0,C17477
"R2, R3",5K1_RESC2012X65N,2,5.1k,C27834
"R4, R9",27R_RESC2012X65N,2,27,C17594
R5,0603,1,470 ohm,C23179
SW1,SW_SPST_TL3342,1,SW_Push_B,C318884
SW2,SW_SPST_TL3342,1,SW_Push_R,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOT-23-5,1,AP2112K-3.3,C51118
U4,SOT95P280X145-6N,1,USBLC6-2SC6,C7519
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U7,SOT95P280X145-5N,1,~,C7484
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,C20625731
